AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
0.042,18,29,24,5,1,0,0,0,1,3,0,0,5,0,0,9,0,0.042,0.207,0.125,0,0.249,
0.067,17,16,15,2,1,1,0,0,2,0,1,0,0,0,0,4,0,0.133,0.067,0,0,0.2,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.111,2,9,9,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0.111,0.111,0,0,0.222,
0.235,58,217,179,17,42,7,0,5,64,25,1,5,32,1,0,42,4,0.358,0.343,0.205,8,0.701,
0.222,17,50,45,4,10,2,0,0,12,5,2,0,3,0,0,7,1,0.267,0.271,0.235,4,0.538,
0.206,21,35,34,4,7,2,1,0,11,5,0,0,1,0,0,11,0,0.324,0.229,0.2,2,0.553,
0.182,20,14,11,1,2,1,0,0,3,1,1,0,2,0,0,2,0,0.273,0.308,0.5,0,0.581,
0.196,28,69,56,8,11,5,1,0,18,7,0,0,9,0,4,9,1,0.321,0.348,0.214,2,0.669,
0.067,22,17,15,2,1,0,0,0,1,0,1,0,1,0,0,5,0,0.067,0.125,0,0,0.192,
0.263,37,156,137,14,36,3,0,1,42,10,0,1,16,1,2,18,8,0.307,0.346,0.194,10,0.653,
0.311,53,202,180,24,56,9,0,2,71,20,1,1,18,1,2,36,0,0.394,0.378,0.471,15,0.772,
0.245,55,169,151,13,37,8,1,1,50,20,4,0,12,0,2,22,2,0.331,0.309,0.298,10,0.64,
0.167,3,8,6,0,1,0,0,0,1,1,0,1,1,0,0,3,0,0.167,0.25,0,0,0.417,
0.333,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.333,0.333,0.5,0,0.666,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
1,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.294,60,233,201,32,59,9,0,5,83,40,0,1,28,0,3,29,7,0.413,0.386,0.442,13,0.799,
0.327,58,255,211,47,69,11,0,12,116,44,0,2,39,2,3,42,6,0.55,0.435,0.292,21,0.985,
0.258,51,187,163,16,42,6,0,0,48,22,0,2,22,0,0,24,3,0.294,0.342,0.333,12,0.636,
0.208,17,27,24,5,5,0,0,2,11,4,0,0,1,0,2,8,0,0.458,0.296,0.167,1,0.754,
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.304,58,215,181,34,55,7,0,13,101,36,2,3,27,1,2,45,3,0.558,0.394,0.237,17,0.952,
